Jan,leden
Feb,února
Mar,Mar
Apr,dubna
May,Smět
Jun,června
Jul,července
Aug,srpnu
Sep,září
Oct,říjen
Nov,listopad
Dec,prosince
Spin and Win,Spin a Win
Module Configurations,Konfigurace modul
Image has been uploaded successfully!,Obrázek byl úspěšně nahrán!
There was some error while uploading the image for the front end.,Tam byla nějaká chyba při nahrávání obrázku na přední straně.
Module configuration have been saved successfully!,konfigurace modulu byly úspěšně uloženy!
Not your lucky day today. Better Luck Next Time.,Není to tvoje dnes šťastný den. Příště víc štěstí.
"Something went wrong while generating the coupon code, please try again.","Něco pokazilo při generování kodu, zkuste to znovu."
Slice Settings,Nastavení plátek
Note,Poznámka
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. Hodnota, kterou dal ve sloupci Gravity určí možnost řezu, které budou vybrány na předním konci. Čím vyšší hodnota, tím vyšší šance na řezu, které budou vybrány, kdy zákazník využívá plugin."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,2. Hodnota sloupec gravitace pro každý řez nemůže být větší než 100 a součet všech 12 plátky nemůže být větší než 100 a menší než 1.
Slice Label,plátek Label
Coupon Type,kupón Type
Coupon Value,Hodnota kuponu
Gravity (%),Gravity (%)
Fixed,Pevný
Percentage,Procento
Free Shipping,Doprava zdarma
Please select atleast one page,Prosím zvolte aspoň jednu stránku
Please select atleast one country,Vyberte aspoň jednu zemi
Field cannot be empty,Pole nemůže být prázdné
Total Coupons Generated,Celkem kupóny Vygenerovaný
Total Coupons Unused,Celkem kupóny Nevyužitá
Total Coupons Used,Celkem kupóny Použité
`Active Date` cannot be greater than `Inactive Date`,`Active Date` nemůže být větší než` neaktivní Date`
`From` Date cannot be greater than `To` Date,`From` Datum nemůže být větší než` To` Datum
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,Součet gravitace není v platném rozsahu. Mělo by být betwen 1 a 100
Date & Time should be greater than current date time.,Datum a čas musí být větší než aktuální datum a čas.
Please enter First name.,"Prosím, zadejte křestní jméno."
First name cannot be greater than # characters.,Křestní jméno nemůže být větší než # znaků.
First name cannot be less than # characters.,Křestní jméno nemůže být nižší než # znaků.
Please enter middle name.,"Prosím, zadejte křestní jméno."
Middle name cannot be greater than # characters.,Prostřední jméno nemůže být větší než # znaků.
Middle name cannot be less than # characters.,Prostřední jméno nemůže být nižší než # znaků.
Only alphabets are allowed.,Pouze abecedy jsou povoleny.
Please enter Last name.,Zadejte příjmení.
Last name cannot be greater than # characters.,Příjmení nemůže být větší než # znaků.
Last name cannot be less than # characters.,Příjmení nemůže být nižší než # znaků.
Field should be alphanumeric.,Pole by mělo být alfanumerická.
Please enter Password.,Prosím vložte heslo.
Password cannot be greater than # characters.,Heslo nesmí být větší než # znaků.
Password cannot be less than # characters.,Heslo nesmí být kratší než # znaků.
Password should contain atleast 1 special character.,Heslo musí obsahovat aspoň 1 speciální znak.
Password should contain alphabets.,Heslo by mělo obsahovat abecedy.
Password should contain atleast 1 capital letter.,Heslo musí obsahovat aspoň jedno velké písmeno.
Password should contain atleast 1 small letter.,Heslo musí obsahovat aspoň 1 malá písmena.
Password should contain atleast 1 digit.,Heslo musí obsahovat aspoň 1 číslici.
Field cannot be empty.,Pole nemůže být prázdné.
You can enter only numbers.,Můžete zadat pouze čísla.
Number should be greater than 0.,Číslo by mělo být větší než 0.
Field cannot be greater than # characters.,Pole nemůže být větší než # znaků.
Field cannot be less than # character(s).,Pole nemůže být nižší než # znak (y).
Please enter Email.,Zadejte prosím e-mail.
Please enter a valid Email.,Prosím zadejte platný email.
Please enter country name.,Zadejte prosím název země.
Country cannot be greater than # characters.,Země nemůže být větší než # znaků.
Country cannot be less than # characters.,Země nemůže být nižší než # znaků.
Please enter city name.,"Prosím, zadejte název města."
City cannot be greater than # characters.,Město nemůže být větší než # znaků.
City cannot be less than # characters.,Město nemůže být nižší než # znaků.
Please enter state name.,"Prosím, zadejte jméno státu."
State cannot be greater than # characters.,Stát nemůže být větší než # znaků.
State cannot be less than # characters.,Stát nemůže být menší než # znaků.
Please enter product name.,Zadejte prosím název produktu.
Product cannot be greater than # characters.,Výrobek nemůže být větší než # znaků.
Product cannot be less than # characters.,Výrobek nemůže být menší než # znaků.
Please enter category name.,"Prosím, zadejte název kategorie."
Category cannot be greater than # characters.,Kategorie nemůže být větší než # znaků.
Category cannot be less than # characters.,Kategorie nemůže být nižší než # znaků.
Please enter zip code.,"Prosím, zadejte poštovní směrovací číslo."
Zip cannot be greater than # characters.,Zip nemůže být větší než # znaků.
Zip cannot be less than # characters.,Zip nemůže být nižší než # znaků.
Please enter Username.,"Prosím, zadejte jméno."
Username cannot be greater than # characters.,Uživatelské jméno nemůže být větší než # znaků.
Username cannot be less than # characters.,Uživatelské jméno nemůže být nižší než # znaků.
Invalid date format.,Neplatný formát data.
SKU cannot be greater than # characters.,SKU nemůže být větší než # znaků.
SKU cannot be less than # characters.,SKU nemůže být nižší než # znaků.
Invalid SKU format.,Neplatný formát SKU.
Please enter SKU.,"Prosím, zadejte SKU."
Number is not in the valid range. It should be betwen # and %,Číslo není v platném rozsahu. Mělo by být betwen # a%
Please enter address.,Zadejte prosím adresu.
Address cannot be less than # characters.,Adresa nemůže být menší než # znaků.
Address cannot be greater than # characters.,Adresa nemůže být větší než # znaků.
Please enter company name.,Zadejte prosím název společnosti.
Company name cannot be less than # characters.,Název společnosti nemůže být nižší než # znaků.
Company name cannot be greater than # characters.,Název společnosti nemůže být větší než # znaků.
Phone number is invalid.,Telefonní číslo je neplatné.
Please enter phone number.,"Prosím, zadejte telefonní číslo."
Phone number cannot be less than # characters.,Telefonní číslo nesmí být menší než # znaků.
Phone number cannot be greater than # characters.,Telefonní číslo nesmí být vyšší než # znaků.
Please enter brand name.,"Prosím, zadejte název značky."
Brand name cannot be greater than # characters.,značka nemůže být větší než # znaků.
Brand name cannot be less than # characters.,Značka nesmí být menší než # znaků.
Please enter Shimpment.,"Prosím, zadejte Shimpment."
Shipment cannot be greater than # characters.,Přeprava nemůže být větší než # znaků.
Shipment cannot be less than # characters.,Přeprava nemůže být menší než # znaků.
Invalid IP format.,Neplatný formát IP.
Invalid URL format.,Neplatný formát adresy URL.
Please enter URL.,Zadejte prosím adresu URL.
Field should be numeric.,Pole by mělo být číslo.
Field can have only upto two decimal values.,Pole může mít pouze aľ dvě desetinná čísla.
Email cannot be greater than # characters.,E-mail nemůže být větší než # znaků.
Zip should not have special characters.,Zip by neměla mít speciální znaky.
SKU should not have special characters.,Kód by neměl mít speciální znaky.
URL cannot be greater than # characters.,URL nemůže být větší než # znaků.
Percentage should be in number.,Procento by mělo být v řadě.
Percentage should be between 0 and 100.,Procento by měla být mezi 0 a 100.
Size cannot be greater than # characters.,Velikost nemůže být větší než # znaků.
Size should not have special characters.,Velikost by neměla mít speciální znaky.
UPC should not have special characters.,UPC by neměla mít speciální znaky.
UPC cannot be greater than # characters.,UPC nemůže být větší než # znaků.
EAN should not have special characters.,EAN by neměla mít speciální znaky.
EAN cannot be greater than # characters.,EAN nemůže být větší než # znaků.
Barcode should not have special characters.,Čárový kód by neměl mít speciální znaky.
Barcode cannot be greater than # characters.,Čárový kód nemůže být větší než # znaků.
Field should be positive.,Pole by měla být pozitivní.
Color could not be greater than # characters.,Barva by neměla být větší než # znaků.
Color is not valid.,Barva není platný.
Special characters are not allowed.,Speciální znaky nejsou povoleny.
Script tags are not allowed.,Script tagy nejsou povoleny.
Style tags are not allowed.,Styl značky nejsou povoleny.
Iframe tags are not allowed.,Značky iframe nejsou povoleny.
Uploaded file is not an image,Nahraný soubor není obrázek
Uploaded file size must be less than #.,Nahraný velikost souboru musí být menší než #.
Field should not contain HTML tags.,Pole nesmí obsahovat HTML tagy.
You can enter only positive numbers.,Můžete zadat pouze kladná čísla.
Invalid comma (#) separated values.,Neplatný čárka (#) hodnoty oddělené.
Spin and Win Free version,Spin a Win verze zdarma
