Jan,Jan
Feb,Feb
Mar,Mar
Apr,Apr
May,May
Jun,Jun
Jul,Jul
Aug,Aug
Sep,Sep
Oct,Oct
Nov,Nov
Dec,Dec
Spin and Win,Spin and Win
Module Configurations,Module Configurations
Image has been uploaded successfully!,Image has been uploaded successfully!
There was some error while uploading the image for the front end.,There was some error while uploading the image for the front end.
Module configuration have been saved successfully!,Module configuration have been saved successfully!
Not your lucky day today. Better Luck Next Time.,Not your lucky day today. Better Luck Next Time.
"Something went wrong while generating the coupon code, please try again.","Something went wrong while generating the coupon code, please try again."
Slice Settings,Slice Settings
Note,Note
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.
Slice Label,Slice Label
Coupon Type,Coupon Type
Coupon Value,Coupon Value
Gravity (%),Gravity (%)
Fixed,Fixed
Percentage,Percentage
Free Shipping,Free Shipping
Please select atleast one page,Please select atleast one page
Please select atleast one country,Please select atleast one country
Field cannot be empty,Field cannot be empty
Total Coupons Generated,Total Coupons Generated
Total Coupons Unused,Total Coupons Unused
Total Coupons Used,Total Coupons Used
`Active Date` cannot be greater than `Inactive Date`,`Active Date` cannot be greater than `Inactive Date`
`From` Date cannot be greater than `To` Date,`From` Date cannot be greater than `To` Date
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,The sum of Gravity is not in the valid range. It should be betwen 1 and 100
Date & Time should be greater than current date time.,Date & Time should be greater than current date time.
Please enter First name.,Please enter First name.
First name cannot be greater than # characters.,First name cannot be greater than # characters.
First name cannot be less than # characters.,First name cannot be less than # characters.
Please enter middle name.,Please enter middle name.
Middle name cannot be greater than # characters.,Middle name cannot be greater than # characters.
Middle name cannot be less than # characters.,Middle name cannot be less than # characters.
Only alphabets are allowed.,Only alphabets are allowed.
Please enter Last name.,Please enter Last name.
Last name cannot be greater than # characters.,Last name cannot be greater than # characters.
Last name cannot be less than # characters.,Last name cannot be less than # characters.
Field should be alphanumeric.,Field should be alphanumeric.
Please enter Password.,Please enter Password.
Password cannot be greater than # characters.,Password cannot be greater than # characters.
Password cannot be less than # characters.,Password cannot be less than # characters.
Password should contain atleast 1 special character.,Password should contain atleast 1 special character.
Password should contain alphabets.,Password should contain alphabets.
Password should contain atleast 1 capital letter.,Password should contain atleast 1 capital letter.
Password should contain atleast 1 small letter.,Password should contain atleast 1 small letter.
Password should contain atleast 1 digit.,Password should contain atleast 1 digit.
Field cannot be empty.,Field cannot be empty.
You can enter only numbers.,You can enter only numbers.
Number should be greater than 0.,Number should be greater than 0.
Field cannot be greater than # characters.,Field cannot be greater than # characters.
Field cannot be less than # character(s).,Field cannot be less than # character(s).
Please enter Email.,Please enter Email.
Please enter a valid Email.,Please enter a valid Email.
Please enter country name.,Please enter country name.
