Jan,Jan
Feb,lutego
Mar,Zniszczyć
Apr,kwiecień
May,Może
Jun,czerwca
Jul,lipca
Aug,sierpnia
Sep,września
Oct,październik
Nov,listopada
Dec,grudzień
Spin and Win,Zakręć i wygraj
Module Configurations,Konfiguracje modułowe
Image has been uploaded successfully!,Obraz został przesłany pomyślnie!
There was some error while uploading the image for the front end.,Było trochę błędów podczas przesyłania obrazu do przodu.
Module configuration have been saved successfully!,Konfiguracja modułu zostały zapisane pomyślnie!
Not your lucky day today. Better Luck Next Time.,Nie twój szczęśliwy dzień dzisiaj. Więcej szczęścia następnym razem.
"Something went wrong while generating the coupon code, please try again.","Coś poszło nie tak podczas generowania kodu kuponu, spróbuj ponownie."
Slice Settings,Ustawienia slice
Note,Uwaga
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. Wartość które można umieścić w kolumnie Gravity określi możliwość plasterek być wybrany na przednim końcu. Im wyższa wartość, tym większe szanse na plaster należy wybrać, gdy klient korzysta z wtyczki."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,"2. Wartość kolumny ciężkości dla każdego segmentu nie może być większy niż 100, a suma wszystkich 12 plasterków nie może być większy niż 100, a mniej niż 1."
Slice Label,Kawałek Label
Coupon Type,kupon Rodzaj
Coupon Value,Wartość kuponu
Gravity (%),Ciężar właściwy (%)
Fixed,Naprawiony
Percentage,Odsetek
Free Shipping,Darmowa dostawa
Please select atleast one page,Proszę wybrać conajmniej jedną stronę
Please select atleast one country,Proszę wybrać conajmniej jeden kraj
Field cannot be empty,Pole nie może być puste
Total Coupons Generated,Wszystkich Kupony Generated
Total Coupons Unused,Wszystkich Kupony Niewykorzystane
Total Coupons Used,Wszystkich Kupony Używane
`Active Date` cannot be greater than `Inactive Date`,`Aktywny dzień spełnienia wymogu nie może być większa niż` Nieaktywne dzień spełnienia wymogu
`From` Date cannot be greater than `To` Date,`From` Data nie może być większa niż` To` Data
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,Suma Grawitacji nie jest w poprawnym zakresie. Powinno być betwen 1 a 100
Date & Time should be greater than current date time.,Data i czas powinien być większy niż aktualny czas data.
Please enter First name.,Proszę podać imię.
First name cannot be greater than # characters.,Imię nie może być większa niż # znaków.
First name cannot be less than # characters.,Imię nie może być mniejsza niż # znaków.
Please enter middle name.,Proszę podać nazwę środkowy.
Middle name cannot be greater than # characters.,Drugie imię nie może być większa niż # znaków.
Middle name cannot be less than # characters.,Drugie imię nie może być mniejsza niż # znaków.
Only alphabets are allowed.,Tylko alfabety są dozwolone.
Please enter Last name.,Proszę podać nazwisko.
Last name cannot be greater than # characters.,Nazwisko nie może być większa niż # znaków.
Last name cannot be less than # characters.,Nazwisko nie może być mniejsza niż # znaków.
Field should be alphanumeric.,Pole powinno być alfanumeryczny.
Please enter Password.,Proszę wpisać hasło.
Password cannot be greater than # characters.,Hasło nie może być większa niż # znaków.
Password cannot be less than # characters.,Hasło nie może być mniejsza niż # znaków.
Password should contain atleast 1 special character.,Hasło powinno zawierać conajmniej 1 znak specjalny.
Password should contain alphabets.,Hasło powinno zawierać alfabetów.
Password should contain atleast 1 capital letter.,Hasło powinno zawierać conajmniej nas 1 kapitałową.
Password should contain atleast 1 small letter.,Hasło powinno zawierać conajmniej 1 małą literę.
Password should contain atleast 1 digit.,Hasło powinno zawierać conajmniej 1 cyfrę.
Field cannot be empty.,Pole nie może być puste.
You can enter only numbers.,Można wprowadzić tylko cyfry.
Number should be greater than 0.,Liczba powinna być większa niż 0.
Field cannot be greater than # characters.,Pole nie może być większa niż # znaków.
Field cannot be less than # character(s).,Pole nie może być mniejsza niż # znaku (ów).
Please enter Email.,Proszę podać e-mail.
Please enter a valid Email.,Proszę podać poprawny adres e-mail.
Please enter country name.,Proszę wpisać nazwę kraju.
Country cannot be greater than # characters.,Kraj nie może być większa niż # znaków.
Country cannot be less than # characters.,Kraj nie może być mniejsza niż # znaków.
Please enter city name.,Proszę wpisać nazwę miasta.
City cannot be greater than # characters.,Miasto nie może być większa niż # znaków.
City cannot be less than # characters.,Miasto nie może być mniejsza niż # znaków.
Please enter state name.,Proszę podać nazwę państwa.
State cannot be greater than # characters.,Państwo nie może być większa niż # znaków.
State cannot be less than # characters.,Państwo nie może być mniejsza niż # znaków.
Please enter product name.,Proszę wpisać nazwę produktu.
Product cannot be greater than # characters.,Produkt nie może być większa niż # znaków.
Product cannot be less than # characters.,Produkt nie może być mniejsza niż # znaków.
Please enter category name.,Proszę podać nazwę kategorii.
Category cannot be greater than # characters.,Kategoria nie może być większa niż # znaków.
Category cannot be less than # characters.,Kategoria nie może być mniejsza niż # znaków.
Please enter zip code.,Proszę wpisać kod pocztowy.
Zip cannot be greater than # characters.,Kod pocztowy nie może być większa niż # znaków.
Zip cannot be less than # characters.,Kod pocztowy nie może być mniejsza niż # znaków.
Please enter Username.,Proszę podać nazwę użytkownika.
Username cannot be greater than # characters.,Nazwa użytkownika nie może być większa niż # znaków.
Username cannot be less than # characters.,Nazwa użytkownika nie może być mniejsza niż # znaków.
Invalid date format.,Zły format daty.
SKU cannot be greater than # characters.,SKU nie może być większa niż # znaków.
SKU cannot be less than # characters.,SKU nie może być mniejsza niż # znaków.
Invalid SKU format.,Nieprawidłowy format SKU.
Please enter SKU.,Proszę wpisać SKU.
Number is not in the valid range. It should be betwen # and %,Liczba nie jest w poprawnym zakresie. Powinno być betwen # i%
Please enter address.,Proszę podać adres.
Address cannot be less than # characters.,Adres nie może być mniejsza niż # znaków.
Address cannot be greater than # characters.,Adres nie może być większa niż # znaków.
Please enter company name.,Proszę podać nazwę firmy.
Company name cannot be less than # characters.,Nazwa firmy nie może być mniejsza niż # znaków.
Company name cannot be greater than # characters.,Nazwa firmy nie może być większa niż # znaków.
Phone number is invalid.,Numer telefonu jest nieprawidłowy.
Please enter phone number.,Proszę podać numer telefonu.
Phone number cannot be less than # characters.,Numer telefonu nie może być mniejsza niż # znaków.
