Jan,jan
Feb,februari
Mar,mar
Apr,april
May,Maj
Jun,juni
Jul,juli
Aug,Augusti
Sep,september
Oct,oktober
Nov,november
Dec,december
Spin and Win,Spin och vinn
Module Configurations,modul konfigurationer
Image has been uploaded successfully!,Bilden har överförts framgångsrikt!
There was some error while uploading the image for the front end.,Det fanns några fel när du överför bilden för den främre änden.
Module configuration have been saved successfully!,Modul konfiguration har sparats!
Not your lucky day today. Better Luck Next Time.,Inte din lyckodag idag. Bättre lycka nästa gång.
"Something went wrong while generating the coupon code, please try again.","Något gick fel när genererar kupongkod, försök igen."
Slice Settings,skiva Inställningar
Note,Notera
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. Värdet som du sätter i Gravity kolumnen kommer att avgöra möjligheten till en skiva som skall väljas på den främre änden. Ju högre värde, desto större är risken för slice som skall väljas när kunden använder plugin."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,2. Värdet på Gravity kolumnen för varje skiva inte kan vara större än 100 och summan av alla 12 skivor kan inte vara större än 100 och mindre än 1.
Slice Label,Slice Label
Coupon Type,kupong Typ
Coupon Value,kupong Värde
Gravity (%),Vikt (%)
Fixed,Fast
Percentage,Procentsats
Free Shipping,Gratis frakt
Please select atleast one page,Välj minst en sida
Please select atleast one country,Välj minst ett land
Field cannot be empty,Fältet får inte vara tomt
Total Coupons Generated,Totalt kuponger Generated
Total Coupons Unused,Totalt kuponger Oanvänd
Total Coupons Used,Totalt kuponger Begagnade
`Active Date` cannot be greater than `Inactive Date`,`Active möjliga tillfälle inte kan vara större än 'inaktiv möjliga tillfälle
`From` Date cannot be greater than `To` Date,`From` Datum kan inte vara större än 'till` Datum
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,Summan av Gravity är inte det giltiga intervallet. Det bör vara betwen 1 och 100
Date & Time should be greater than current date time.,Datum och tid bör vara större än aktuellt datum tid.
Please enter First name.,Ange förnamn.
First name cannot be greater than # characters.,Förnamn kan inte vara större än # tecken.
First name cannot be less than # characters.,Förnamn kan inte vara mindre än # tecken.
Please enter middle name.,Ange mellannamn.
Middle name cannot be greater than # characters.,Mellannamn kan inte vara större än # tecken.
Middle name cannot be less than # characters.,Mellannamn kan inte vara mindre än # tecken.
Only alphabets are allowed.,Endast alfabet är tillåtna.
Please enter Last name.,Ange efternamn.
Last name cannot be greater than # characters.,Efternamn kan inte vara större än # tecken.
Last name cannot be less than # characters.,Efternamn kan inte vara mindre än # tecken.
Field should be alphanumeric.,Område bör alfanumerisk.
Please enter Password.,Ange lösenord Tack.
Password cannot be greater than # characters.,Lösenord kan inte vara större än # tecken.
Password cannot be less than # characters.,Lösenord kan inte vara mindre än # tecken.
Password should contain atleast 1 special character.,Lösenordet ska innehålla minst ett specialtecken.
Password should contain alphabets.,Lösenord bör innehålla alfabet.
Password should contain atleast 1 capital letter.,Lösenordet ska innehålla minst en stor bokstav.
Password should contain atleast 1 small letter.,Lösenordet ska innehålla minst en liten bokstav.
