Jan,يناير
Feb,فبراير
Mar,مارس
Apr,أبريل
May,قد
Jun,يونيو
Jul,يوليو
Aug,أغسطس
Sep,سبتمبر
Oct,أكتوبر
Nov,نوفمبر
Dec,ديسمبر
Spin and Win,أدر واربح
Module Configurations,تكوينات وحدة
Image has been uploaded successfully!,تم تحميل الصورة بنجاح!
There was some error while uploading the image for the front end.,كان هناك بعض الأخطاء أثناء تحميل صورة للواجهة الأمامية.
Module configuration have been saved successfully!,تم حفظ وحدة التكوين بنجاح!
Not your lucky day today. Better Luck Next Time.,لا يومك محظوظ اليوم. حظ أوفر في المرة القادمة.
"Something went wrong while generating the coupon code, please try again.",حدث خطأ أثناء إنشاء رمز القسيمة، يرجى المحاولة مرة أخرى.
Slice Settings,إعدادات شريحة
Note,ملحوظة
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.",1. قيمة التي وضعت في العمود الجاذبية هي التي ستحدد إمكانية شريحة التي سيتم اختيارها على الواجهة الأمامية. وكلما ارتفعت قيمة، وارتفاع فرص شريحة التي سيتم اختيارها عندما يستخدم العملاء البرنامج المساعد.
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,2. لا يمكن أن تكون قيمة العمود الجاذبية لكل شريحة أكبر من 100 ومجموع كل شرائح 12 لا يمكن أن يكون أكبر من 100 وأقل من 1.
Slice Label,تسمية شريحة
Coupon Type,نوع القسيمة
Coupon Value,قيمة القسيمة
Gravity (%),الجاذبية (٪)
Fixed,ثابت
Percentage,النسبة المئوية
Free Shipping,الشحن مجانا
Please select atleast one page,الرجاء تحديد أتلست صفحة واحدة
Please select atleast one country,الرجاء تحديد أتلست بلد واحد
Field cannot be empty,لا يمكن أن يكون حقل فارغ
Total Coupons Generated,مجموع القسائم ولدت
Total Coupons Unused,مجموع القسائم غير المستخدمة
Total Coupons Used,مجموع قسائم مستعمل
`Active Date` cannot be greater than `Inactive Date`,`النشطة Date` لا يمكن أن يكون أكبر من` غير فعال Date`
`From` Date cannot be greater than `To` Date,`تاريخ From` لا يمكن أن يكون أكبر من` To` التسجيل
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,مجموع الجاذبية ليست في نطاق صالح. وينبغي أن يكون بين العامين 1 و 100
Date & Time should be greater than current date time.,يجب أن يكون تاريخ ووقت أكبر من وقت التاريخ الحالي.
Please enter First name.,الرجاء إدخال الاسم الأول.
First name cannot be greater than # characters.,لا يمكن أن يكون الاسم الأول أكبر من # حرفا.
First name cannot be less than # characters.,لا يمكن أن يكون الاسم الأول أقل من # حرفا.
Please enter middle name.,الرجاء إدخال الاسم الأوسط.
Middle name cannot be greater than # characters.,لا يمكن أن يكون الاسم الأوسط أكبر من # حرفا.
Middle name cannot be less than # characters.,لا يمكن أن يكون الاسم الأوسط أقل من # حرفا.
Only alphabets are allowed.,يسمح الحروف الهجائية فقط.
Please enter Last name.,الرجاء إدخال اسم آخر.
Last name cannot be greater than # characters.,لا يمكن أن يكون الاسم الأخير أكبر من # حرفا.
Last name cannot be less than # characters.,لا يمكن أن يكون الاسم الأخير أقل من # حرفا.
Field should be alphanumeric.,يجب أن يكون حقل أبجدية.
Please enter Password.,الرجاء إدخال كلمة المرور.
Password cannot be greater than # characters.,كلمة لا يمكن أن يكون أكبر من # حرفا.
Password cannot be less than # characters.,كلمة سر لا يمكن أن يكون أقل من # حرفا.
Password should contain atleast 1 special character.,يجب أن تحتوي كلمة المرور أتلست طابع خاص 1.
Password should contain alphabets.,يجب أن تحتوي كلمة المرور الحروف الهجائية.
Password should contain atleast 1 capital letter.,يجب أن تحتوي كلمة المرور أتلست إلكتروني 1 من رأس المال.
Password should contain atleast 1 small letter.,يجب أن تحتوي كلمة المرور أتلست 1 إلكتروني صغير.
Password should contain atleast 1 digit.,يجب أن تحتوي كلمة المرور أتلست رقم 1.
Field cannot be empty.,لا يمكن أن يكون الحقل فارغا.
You can enter only numbers.,يمكنك إدخال أرقام فقط.
Number should be greater than 0.,يجب أن تكون عدد أكبر من 0.
Field cannot be greater than # characters.,لا يمكن أن يكون الحقل أكبر من # حرفا.
Field cannot be less than # character(s).,لا يمكن أن يكون أقل من الميدان # حرف (ق).
Please enter Email.,يرجى إدخال البريد الإلكتروني.
Please enter a valid Email.,يرجى إدخال البريد الإلكتروني الصحيح.
Please enter country name.,الرجاء إدخال اسم البلد.
Country cannot be greater than # characters.,البلد لا يمكن أن يكون أكبر من # حرفا.
Country cannot be less than # characters.,البلد لا يمكن أن يكون أقل من # حرفا.
Please enter city name.,الرجاء إدخال اسم المدينة.
City cannot be greater than # characters.,المدينة لا يمكن أن يكون أكبر من # حرفا.
City cannot be less than # characters.,المدينة لا يمكن أن يكون أقل من # حرفا.
Please enter state name.,الرجاء إدخال اسم الدولة.
State cannot be greater than # characters.,الدولة لا يمكن أن يكون أكبر من # حرفا.
State cannot be less than # characters.,الدولة لا يمكن أن يكون أقل من # حرفا.
Please enter product name.,الرجاء إدخال اسم المنتج.
Product cannot be greater than # characters.,المنتج لا يمكن أن يكون أكبر من # حرفا.
Product cannot be less than # characters.,المنتج لا يمكن أن يكون أقل من # حرفا.
Please enter category name.,الرجاء إدخال اسم الفئة.
Category cannot be greater than # characters.,الفئة لا يمكن أن يكون أكبر من # حرفا.
Category cannot be less than # characters.,الفئة لا يمكن أن يكون أقل من # حرفا.
Please enter zip code.,الرجاء إدخال الرمز البريدي.
Zip cannot be greater than # characters.,الرمز لا يمكن أن يكون أكبر من # حرفا.
Zip cannot be less than # characters.,الرمز لا يمكن أن يكون أقل من # حرفا.
Please enter Username.,الرجاء إدخال اسم المستخدم.
Username cannot be greater than # characters.,اسم المستخدم لا يمكن أن يكون أكبر من # حرفا.
Username cannot be less than # characters.,اسم المستخدم لا يمكن أن يكون أقل من # حرفا.
Invalid date format.,تنسيق التاريخ غير صالح.
SKU cannot be greater than # characters.,SKU لا يمكن أن يكون أكبر من # حرفا.
SKU cannot be less than # characters.,SKU لا يمكن أن يكون أقل من # حرفا.
Invalid SKU format.,شكل SKU صالح.
Please enter SKU.,الرجاء إدخال SKU.
Number is not in the valid range. It should be betwen # and %,عدد غير موجود في النطاق الصالح. وينبغي أن يكون بين العامين # و٪
Please enter address.,يرجى إدخال عنوان.
Address cannot be less than # characters.,عنوان لا يمكن أن يكون أقل من # حرفا.
Address cannot be greater than # characters.,عنوان لا يمكن أن يكون أكبر من # حرفا.
Please enter company name.,يرجى إدخال اسم الشركة.
Company name cannot be less than # characters.,لا يمكن أن يكون اسم الشركة أقل من # حرفا.
Company name cannot be greater than # characters.,لا يمكن أن يكون اسم الشركة أكبر من # حرفا.
Phone number is invalid.,رقم الهاتف غير صالح.
Please enter phone number.,الرجاء إدخال رقم الهاتف.
Phone number cannot be less than # characters.,رقم الهاتف لا يمكن أن يكون أقل من # حرفا.
Phone number cannot be greater than # characters.,رقم الهاتف لا يمكن أن يكون أكبر من # حرفا.
Please enter brand name.,الرجاء إدخال اسم العلامة التجارية.
Brand name cannot be greater than # characters.,لا يمكن أن يكون اسم العلامة التجارية أكبر من # حرفا.
Brand name cannot be less than # characters.,لا يمكن أن يكون اسم العلامة التجارية أقل من # حرفا.
Please enter Shimpment.,الرجاء إدخال Shimpment.
Shipment cannot be greater than # characters.,شحنة لا يمكن أن يكون أكبر من # حرفا.
Shipment cannot be less than # characters.,شحنة لا يمكن أن يكون أقل من # حرفا.
Invalid IP format.,شكل IP غير صالح.
Invalid URL format.,تنسيق URL صالح.
Please enter URL.,الرجاء إدخال URL.
Field should be numeric.,يجب أن يكون حقل رقمي.
Field can have only upto two decimal values.,يمكن أن يكون الحقل فقط تصل قيمتين عشرية.
Email cannot be greater than # characters.,البريد الإلكتروني لا يمكن أن يكون أكبر من # حرفا.
Zip should not have special characters.,لا ينبغي أن يكون الرمز البريدي أحرف خاصة.
SKU should not have special characters.,يجب SKU يكن لديك أحرف خاصة.
URL cannot be greater than # characters.,URL لا يمكن أن يكون أكبر من # حرفا.
Percentage should be in number.,يجب أن تكون النسبة المئوية في العدد.
Percentage should be between 0 and 100.,يجب أن تكون النسبة المئوية بين 0 و 100.
Size cannot be greater than # characters.,الحجم لا يمكن أن يكون أكبر من # حرفا.
Size should not have special characters.,لا ينبغي أن يكون حجم الأحرف الخاصة.
UPC should not have special characters.,يجب UPC يكن لديك أحرف خاصة.
UPC cannot be greater than # characters.,UPC لا يمكن أن يكون أكبر من # حرفا.
EAN should not have special characters.,يجب EAN يكن لديك أحرف خاصة.
EAN cannot be greater than # characters.,EAN لا يمكن أن يكون أكبر من # حرفا.
Barcode should not have special characters.,يجب الباركود يكن لديك أحرف خاصة.
Barcode cannot be greater than # characters.,الباركود لا يمكن أن يكون أكبر من # حرفا.
Field should be positive.,يجب أن يكون الحقل إيجابي.
Color could not be greater than # characters.,اللون لا يمكن أن يكون أكبر من # حرفا.
Color is not valid.,لون غير صالح.
Special characters are not allowed.,يمنع استعمال الرموز.
Script tags are not allowed.,لا يسمح علامات البرنامج النصي.
Style tags are not allowed.,لا يسمح العلامات نمط.
Iframe tags are not allowed.,لا يسمح علامات IFRAME.
Uploaded file is not an image,ملف مرفوع ليس صورة
Uploaded file size must be less than #.,يجب أن يكون مرفوع حجم الملف أقل من #.
Field should not contain HTML tags.,يجب أن لا يحتوي على حقل علامات HTML.
You can enter only positive numbers.,يمكنك إدخال أرقام موجبة فقط.
Invalid comma (#) separated values.,فاصلة غير صالحة (#) فصل القيم.
Spin and Win Free version,تدور واربح نسخة مجانية
v1.0.0,v1.0.0
Current Configuration Scope,نطاق التكوين الحالي
Save Configurations,حفظ تكوينات
General Settings,الاعدادات العامة
Look and Feel Settings,الشكل والمظهر إعدادات
Go to Home Page,الذهاب إلى الصفحة الرئيسية
Home,الصفحة الرئيسية
