Jan,Jan
Feb,февруари
Mar,развалям
Apr,април
May,Може
Jun,юни
Jul,юли
Aug,август
Sep,септември
Oct,октомври
Nov,ноември
Dec,декември
Spin and Win,Spin и Win
Module Configurations,Модул Конфигурации
Image has been uploaded successfully!,Изображението е качен успешно!
There was some error while uploading the image for the front end.,Имаше някаква грешка при качването на изображението за предния край.
Module configuration have been saved successfully!,конфигурация модул са били спасени успешно!
Not your lucky day today. Better Luck Next Time.,Не си днес щастлив ден. По-добър късмет следващия път.
"Something went wrong while generating the coupon code, please try again.","Нещо се обърка при генериране на кода на талона, моля опитайте отново."
Slice Settings,Slice Настройки
Note,Забележка
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. Стойността, която поставя в графата Gravity ще определи възможността за парче, за да бъде избран на предния край. Колкото по-висока е стойността, толкова по-високи са шансовете за парчето да бъде избран, когато потребителят използва приставката."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,2. Стойността на колоната тежестта на всяко парче не може да бъде по-голяма от 100 и сумата от всички 12 парчета не може да бъде по-голямо от 100 и по-малко от 1.
Slice Label,Slice Label
Coupon Type,Купон Тип
Coupon Value,Стойността на купона
Gravity (%),Земно притегляне (%)
Fixed,определен
Percentage,Процент
Free Shipping,Безплатна доставка
Please select atleast one page,"Моля, изберете поне една страница"
Please select atleast one country,"Моля, изберете поне една държава"
Field cannot be empty,Невярно е може да е празно
Total Coupons Generated,Брой талони генерирани
Total Coupons Unused,Брой талони Неизползвани
Total Coupons Used,Използвани брой талони
`Active Date` cannot be greater than `Inactive Date`,`Active Date` не може да бъде по-голяма от` Inactive Date`
`From` Date cannot be greater than `To` Date,`From` дата не може да бъде по-голяма от` To` Дата
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,Сумата от Gravity не е в сила диапазон. Тя трябва да бъде линии между 1 и 100
Date & Time should be greater than current date time.,Дата и час трябва да бъде по-голяма от текущата дата и час.
Please enter First name.,"Моля, въведете Име."
First name cannot be greater than # characters.,Собствено име не може да бъде по-голяма от # знака.
First name cannot be less than # characters.,Собствено име не може да бъде по-малко от # знака.
Please enter middle name.,"Моля, въведете бащино име."
Middle name cannot be greater than # characters.,Бащино име не може да бъде по-голяма от # знака.
Middle name cannot be less than # characters.,Бащино име не може да бъде по-малко от # знака.
Only alphabets are allowed.,Само азбуки са позволени.
Please enter Last name.,"Моля, въведете Фамилия."
Last name cannot be greater than # characters.,Фамилия не може да бъде по-голяма от # знака.
Last name cannot be less than # characters.,Фамилия не може да бъде по-малко от # знака.
Field should be alphanumeric.,Невярно трябва да бъде буквено-цифрови.
Please enter Password.,"Моля, въведете паролата."
