Jan,Ene
Feb,Feb
Mar,Mar
Apr,Abr
May,Mayo
Jun,Jun
Jul,Jul
Aug,Ago
Sep,Sep
Oct,Oct
Nov,Nov
Dec,Dic
Spin and Win,Gira y gana
Module Configurations,Configuraciones de módulos
Image has been uploaded successfully!,La imagen se ha cargado correctamente!
There was some error while uploading the image for the front end.,Hubo un error al cargar la imagen de la parte delantera.
Module configuration have been saved successfully!,La configuración del módulo ha sido guardado con éxito!
Not your lucky day today. Better Luck Next Time.,No es su día de suerte hoy. Mejor suerte la próxima vez.
"Something went wrong while generating the coupon code, please try again.","Produjo un error al generar el código de cupón, por favor intente de nuevo."
Slice Settings,Ajustes rebanada
Note,Nota
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. El valor que se pone en la columna de la gravedad determinará la posibilidad de una rebanada de ser seleccionado en la parte delantera. Cuanto mayor sea el valor, mayor será la posibilidad de la rebanada para ser seleccionados cuando el cliente utiliza el plugin."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,2. El valor de la columna de gravedad para cada rebanada no puede ser mayor que 100 y la suma de los 12 rodajas no puede ser mayor que 100 y menor que 1.
Slice Label,rebanada de etiquetas
Coupon Type,Tipo de cupón
Coupon Value,Valor de cupón
Gravity (%),Gravedad (%)
Fixed,Fijo
Percentage,Porcentaje
Free Shipping,Envío gratis
Please select atleast one page,"Por favor, seleccione al menos una página"
Please select atleast one country,"Por favor, seleccione al menos un país"
Field cannot be empty,El campo no puede estar vacío
Total Coupons Generated,Cupones total generada
Total Coupons Unused,Los cupones no utilizados totales
Total Coupons Used,Cupones total utilizada
`Active Date` cannot be greater than `Inactive Date`,`Activa date` no puede ser mayor que` Inactivo date`
`From` Date cannot be greater than `To` Date,`From` La fecha no puede ser mayor que` To` Fecha
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,La suma de gravedad no está en el rango válido. Debe ser Transcurrirá 1 y 100
Date & Time should be greater than current date time.,Fecha y hora debe ser mayor que la fecha y hora actual.
Please enter First name.,"Por favor, introduzca Nombre."
First name cannot be greater than # characters.,El nombre no puede ser mayor de caracteres #.
First name cannot be less than # characters.,El nombre no puede ser menor de caracteres #.
Please enter middle name.,"Por favor, introduzca el segundo nombre."
Middle name cannot be greater than # characters.,segundo nombre no puede ser mayor que # caracteres.
Middle name cannot be less than # characters.,segundo nombre no puede ser inferior a # caracteres.
Only alphabets are allowed.,Sólo se permiten los alfabetos.
Please enter Last name.,"Por favor, ingrese el apellido."
Last name cannot be greater than # characters.,Apellido no puede ser mayor de caracteres #.
Last name cannot be less than # characters.,Apellido no puede ser menor de caracteres #.
Field should be alphanumeric.,El campo debe ser alfanumérico.
Please enter Password.,"Por favor, ingrese contraseña."
Password cannot be greater than # characters.,La contraseña no puede ser mayor que # caracteres.
Password cannot be less than # characters.,La contraseña no puede ser menor de caracteres #.
Password should contain atleast 1 special character.,La contraseña debe contener al menos 1 carácter especial.
Password should contain alphabets.,La contraseña debe contener los alfabetos.
Password should contain atleast 1 capital letter.,La contraseña debe contener al menos 1 letra capital.
Password should contain atleast 1 small letter.,La contraseña debe contener al menos 1 letra pequeña.
Password should contain atleast 1 digit.,La contraseña debe contener al menos 1 dígitos.
Field cannot be empty.,El campo no puede estar vacío.
You can enter only numbers.,Sólo puede introducir números.
Number should be greater than 0.,El número debe ser mayor que 0.
Field cannot be greater than # characters.,El campo no puede ser mayor que # caracteres.
Field cannot be less than # character(s).,El campo no puede ser menor que el carácter # (s).
Please enter Email.,"Por favor, introduzca correo electrónico."
Please enter a valid Email.,Por favor introduzca una dirección de correo electrónico válida.
Please enter country name.,"Por favor, introduzca nombre del país."
Country cannot be greater than # characters.,País no puede ser mayor que # caracteres.
Country cannot be less than # characters.,País no puede ser inferior a # caracteres.
Please enter city name.,"Por favor, introduzca el nombre de la ciudad."
City cannot be greater than # characters.,Ciudad no puede ser mayor que # caracteres.
City cannot be less than # characters.,Ciudad no puede ser inferior a # caracteres.
Please enter state name.,"Por favor, introduzca el nombre del estado."
State cannot be greater than # characters.,Estado no puede ser mayor que # caracteres.
State cannot be less than # characters.,Estado no puede ser inferior a # caracteres.
Please enter product name.,"Por favor, introduzca el nombre del producto."
Product cannot be greater than # characters.,El producto no puede ser mayor de caracteres #.
