Jan,január
Feb,februára
Mar,Mar
Apr,apríla
May,Smieť
Jun,júna
Jul,júla
Aug,auguste
Sep,septembra
Oct,október
Nov,november
Dec,decembra
Spin and Win,Spin a Win
Module Configurations,Konfigurácia modul
Image has been uploaded successfully!,Obrázok bol úspešne nahraný!
There was some error while uploading the image for the front end.,Tam bola nejaká chyba pri nahrávaní obrázka na prednej strane.
Module configuration have been saved successfully!,konfigurácia modulu boli úspešne uložené!
Not your lucky day today. Better Luck Next Time.,Nie je to tvoja dnes šťastný deň. Nabudúce viac šťastia.
"Something went wrong while generating the coupon code, please try again.","Niečo pokazilo pri generovaní kodu, skúste to znova."
Slice Settings,nastavenie plátok
Note,Poznámka
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. Hodnota, ktorú dal v stĺpci Gravity určí možnosť rezu, ktoré budú vybrané na prednom konci. Čím vyššia hodnota, tým vyššia šanca na reze, ktoré budú vybrané, kedy zákazník využíva plugin."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,2. Hodnota stĺpec gravitácie pre každý rez nemôže byť väčšia ako 100 a súčet všetkých 12 plátky nemôže byť väčšia ako 100 a menšie ako 1.
Slice Label,plátok Label
Coupon Type,kupón Type
Coupon Value,hodnota kupónu
Gravity (%),Gravitácia (%)
Fixed,fixné
Percentage,percento
Free Shipping,Doprava zdarma
Please select atleast one page,Prosím vyberte aspon jednu stránku
Please select atleast one country,Vyberte aspoň jednu krajinu
Field cannot be empty,Pole nemôže byť prázdne
Total Coupons Generated,Celkom kupóny Vygenerovaný
Total Coupons Unused,Celkom kupóny Nevyužitá
Total Coupons Used,Celkom kupóny Použité
`Active Date` cannot be greater than `Inactive Date`,`Active Date` nemôže byť väčšia než` neaktívne Date`
`From` Date cannot be greater than `To` Date,`From` Dátum nemôže byť väčšia než` To` Dátum
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,Súčet gravitácie nie je v platnom rozsahu. Malo by byť betwen 1 a 100
Date & Time should be greater than current date time.,Dátum a čas musí byť väčší ako aktuálny dátum a čas.
Please enter First name.,"Prosím, zadajte krstné meno."
First name cannot be greater than # characters.,Krstné meno nemôže byť väčšia ako # znakov.
First name cannot be less than # characters.,Krstné meno nemôže byť nižšia ako # znakov.
Please enter middle name.,"Prosím, zadajte krstné meno."
Middle name cannot be greater than # characters.,Prostredné meno nemôže byť väčšia ako # znakov.
Middle name cannot be less than # characters.,Prostredné meno nemôže byť nižšia ako # znakov.
Only alphabets are allowed.,Iba abecedy sú povolené.
Please enter Last name.,Zadajte priezvisko.
Last name cannot be greater than # characters.,Priezvisko nemôže byť väčšia ako # znakov.
Last name cannot be less than # characters.,Priezvisko nemôže byť nižšia ako # znakov.
Field should be alphanumeric.,Pole by malo byť alfanumerická.
Please enter Password.,"Prosím, zadajte heslo."
Password cannot be greater than # characters.,Heslo nesmie byť väčšia ako # znakov.
Password cannot be less than # characters.,Heslo nesmie byť kratšia ako # znakov.
Password should contain atleast 1 special character.,Heslo musí obsahovať aspoň 1 špeciálny znak.
Password should contain alphabets.,Heslo by malo obsahovať abecedy.
Password should contain atleast 1 capital letter.,Heslo musí obsahovať aspoň jedno veľké písmeno.
Password should contain atleast 1 small letter.,Heslo musí obsahovať aspoň 1 malé písmená.
Password should contain atleast 1 digit.,Heslo musí obsahovať aspoň 1 číslicu.
Field cannot be empty.,Pole nemôže byť prázdne.
You can enter only numbers.,Môžete zadať iba čísla.
Number should be greater than 0.,Číslo by malo byť väčšie ako 0.
Field cannot be greater than # characters.,Pole nemôže byť väčšia ako # znakov.
Field cannot be less than # character(s).,Pole nemôže byť nižšia ako # znak (y).
Please enter Email.,Zadajte prosím e-mail.
Please enter a valid Email.,Prosím zadajte platný e-mail.
Please enter country name.,Zadajte prosím názov krajiny.
Country cannot be greater than # characters.,Krajina nemôže byť väčšia ako # znakov.
Country cannot be less than # characters.,Krajina nemôže byť nižšia ako # znakov.
Please enter city name.,"Prosím, zadajte názov mesta."
City cannot be greater than # characters.,Mesto nemôže byť väčšia ako # znakov.
City cannot be less than # characters.,Mesto nemôže byť nižšia ako # znakov.
Please enter state name.,"Prosím, zadajte meno štátu."
State cannot be greater than # characters.,Štát nemôže byť väčšia ako # znakov.
State cannot be less than # characters.,Štát nemôže byť menšia ako # znakov.
Please enter product name.,Zadajte prosím názov produktu.
Product cannot be greater than # characters.,Výrobok nemôže byť väčšia ako # znakov.
Product cannot be less than # characters.,Výrobok nemôže byť menšia ako # znakov.
Please enter category name.,"Prosím, zadajte názov kategórie."
Category cannot be greater than # characters.,Kategória nemôže byť väčšia ako # znakov.
Category cannot be less than # characters.,Kategória nemôže byť nižšia ako # znakov.
Please enter zip code.,"Prosím, zadajte poštové smerovacie číslo."
Zip cannot be greater than # characters.,Zip nemôže byť väčšia ako # znakov.
Zip cannot be less than # characters.,Zip nemôže byť nižšia ako # znakov.
Please enter Username.,"Prosím, zadajte meno."
Username cannot be greater than # characters.,Užívateľské meno nemôže byť väčšia ako # znakov.
Username cannot be less than # characters.,Užívateľské meno nemôže byť nižšia ako # znakov.
Invalid date format.,Neplatný formát dátumu.
SKU cannot be greater than # characters.,SKU nemôže byť väčšia ako # znakov.
