Jan,Jan
Feb,Februar
Mar,Beschädigen
Apr,April
May,Kann
Jun,Juni
Jul,Juli
Aug,August
Sep,September
Oct,Oktober
Nov,November
Dec,Dezember
Spin and Win,Spin and Win
Module Configurations,Modulkonfigurationen
Image has been uploaded successfully!,Bild wurde erfolgreich hochgeladen!
There was some error while uploading the image for the front end.,Es gab während einige Fehler das Bild für das vordere Ende hochladen.
Module configuration have been saved successfully!,Modulkonfiguration wurde erfolgreich gespeichert!
Not your lucky day today. Better Luck Next Time.,Nicht Ihr Glückstag heute. Better Luck Next Time.
"Something went wrong while generating the coupon code, please try again.","Ging etwas schief, während den Gutschein-Code zu erzeugen, bitte versuchen Sie es erneut."
Slice Settings,Slice-Einstellungen
Note,Hinweis
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. Der Wert, den Sie in der Gravity Spalte gesetzt wird, die Möglichkeit einer Scheibe bestimmen, an dem vorderen Ende ausgewählt werden. Je höher der Wert, desto höher sind die Chancen für die Scheibe ausgewählt werden, wenn der Kunde das Plugin verwendet."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,"2. Der Wert der Schwerkraftsäule für jede Scheibe kann nicht größer sein als 100, und die Summe aller Scheiben 12 kann nicht größer als 100 und kleiner als 1 ist."
Slice Label,Scheibe-Aufkleber
Coupon Type,Coupon-Typ
Coupon Value,Der Wert des Gutscheins
Gravity (%),Schwere (%)
Fixed,Fest
Percentage,Prozentsatz
Free Shipping,Kostenloser Versand
Please select atleast one page,Bitte wählen Sie atleast eine Seite
Please select atleast one country,Bitte wählen Sie atleast ein Land
Field cannot be empty,Feld kann nicht leer sein
Total Coupons Generated,Insgesamt Coupons generiert
Total Coupons Unused,Insgesamt Coupons Ungenutzte
Total Coupons Used,Insgesamt Coupons Gebraucht
`Active Date` cannot be greater than `Inactive Date`,`Aktive Date` kann nicht größer sein als` Inaktive Date`
`From` Date cannot be greater than `To` Date,`From` Datum kann nicht größer sein als` To` Datum
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,Die Summe der Schwerkraft ist nicht im gültigen Bereich. Es sollte betwen 1 und 100
