Jan,Jan
Feb,Φεβρουάριος
Mar,Παραμορφώνω
Apr,Απρίλιος
May,Ενδέχεται
Jun,Ιούνιος
Jul,Ιουλ
Aug,Αύγουστο
Sep,Σεπτέμβριος
Oct,Οκτώβριος
Nov,Νοέμβριος
Dec,Δεκέμβριος
Spin and Win,Spin και κερδίστε
Module Configurations,Συνθέσεις Ενότητα
Image has been uploaded successfully!,Εικόνα έχει φορτωθεί με επιτυχία!
There was some error while uploading the image for the front end.,Υπήρξε κάποια σφάλμα κατά τη μεταφόρτωση της εικόνας για το εμπρόσθιο άκρο.
Module configuration have been saved successfully!,Η διαμόρφωση της μονάδας έχουν αποθηκευτεί με επιτυχία!
Not your lucky day today. Better Luck Next Time.,Δεν είναι η τυχερή σου μέρα σήμερα. Καλύτερη τύχη την επόμενη φορά.
"Something went wrong while generating the coupon code, please try again.","Κάτι πήγε στραβά κατά τη δημιουργία του κώδικα κουπονιού, παρακαλώ προσπαθήστε ξανά."
Slice Settings,Ρυθμίσεις Φέτα
Note,Σημείωση
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. Η τιμή που βάζετε στη στήλη Βαρύτητα θα καθορίσει την πιθανότητα μιας φέτας που θα επιλεγούν στο μπροστινό άκρο. Όσο υψηλότερη είναι η τιμή, τόσο μεγαλύτερες είναι οι πιθανότητες για το κομμάτι που θα επιλεγεί, όταν ο πελάτης χρησιμοποιεί το plugin."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,2. Η τιμή της στήλης βαρύτητας για κάθε φέτα δεν μπορεί να είναι μεγαλύτερη από 100 και το άθροισμα όλων των 12 φέτες δεν μπορεί να είναι μεγαλύτερο από 100 και λιγότερο από 1.
Slice Label,Φέτα Label
Coupon Type,κουπόνι Τύπος
Coupon Value,κουπόνι αξίας
Gravity (%),Σοβαρότητα (%)
Fixed,Σταθερός
Percentage,Ποσοστό
Free Shipping,Δωρεάν αποστολή
Please select atleast one page,Επιλέξτε atleast μία σελίδα
Please select atleast one country,Επιλέξτε atleast μία χώρα
Field cannot be empty,Το πεδίο δεν μπορεί να είναι κενό
Total Coupons Generated,Σύνολο κουπόνια που δημιουργείται
Total Coupons Unused,Σύνολο Κουπόνια Αχρησιμοποίητα
Total Coupons Used,Σύνολο Κουπόνια Μεταχειρισμένο
`Active Date` cannot be greater than `Inactive Date`,"`Active πρόσφατη ημερομηνία δεν μπορεί να είναι μεγαλύτερη από ό, τι` Ανενεργό πρόσφατη ημερομηνία"
`From` Date cannot be greater than `To` Date,"`From` ημερομηνία δεν μπορεί να είναι μεγαλύτερη από ό, τι` To` Ημερομηνία"
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,Το ποσό της βαρύτητας δεν είναι σε έγκυρο εύρος. Θα πρέπει να είναι Περιοδο 1 και 100
Date & Time should be greater than current date time.,Ημερομηνία και ώρα θα πρέπει να είναι μεγαλύτερη από την τρέχουσα ημερομηνία και ώρα.
Please enter First name.,Παρακαλώ εισάγετε το όνομα.
First name cannot be greater than # characters.,"Πρώτο όνομα δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
First name cannot be less than # characters.,Πρώτο όνομα δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Please enter middle name.,Παρακαλώ εισάγετε το μεσαίο όνομα.
Middle name cannot be greater than # characters.,"Μέση όνομα δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
Middle name cannot be less than # characters.,Μέση όνομα δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Only alphabets are allowed.,Μόνο αλφάβητα επιτρέπονται.
Please enter Last name.,Παρακαλώ εισάγετε Επώνυμο.
Last name cannot be greater than # characters.,"Τελευταίο όνομα δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
Last name cannot be less than # characters.,Τελευταίο όνομα δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Field should be alphanumeric.,Το πεδίο πρέπει να είναι αλφαριθμητικό.
Please enter Password.,Παρακαλούμε εισάγετε τον κωδικό πρόσβασης.
Password cannot be greater than # characters.,"Ο κωδικός πρόσβασης δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
Password cannot be less than # characters.,Ο κωδικός πρόσβασης δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Password should contain atleast 1 special character.,Κωδικός πρόσβασης πρέπει να περιέχει atleast 1 ειδικό χαρακτήρα.
Password should contain alphabets.,Κωδικός πρόσβασης πρέπει να περιέχει αλφάβητα.
Password should contain atleast 1 capital letter.,Κωδικός πρόσβασης πρέπει να περιέχει atleast 1 κεφαλαίο γράμμα.
Password should contain atleast 1 small letter.,Κωδικός πρόσβασης πρέπει να περιέχει atleast 1 μικρό γράμμα.
Password should contain atleast 1 digit.,Κωδικός πρόσβασης πρέπει να περιέχει atleast 1 ψηφίο.
Field cannot be empty.,Το πεδίο δεν μπορεί να είναι κενό.
You can enter only numbers.,Μπορείτε να εισάγετε μόνο αριθμούς.
Number should be greater than 0.,Ο αριθμός πρέπει να είναι μεγαλύτερος από 0.
Field cannot be greater than # characters.,"Το πεδίο δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
Field cannot be less than # character(s).,Το πεδίο δεν μπορεί να είναι μικρότερη από # χαρακτήρα (ες).
Please enter Email.,Παρακαλώ εισάγετε το Email.
Please enter a valid Email.,Παρακαλώ εισάγετε μια έγκυρη διεύθυνση email.
Please enter country name.,Παρακαλώ εισάγετε το όνομα της χώρας.
Country cannot be greater than # characters.,"Η χώρα δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
Country cannot be less than # characters.,Η χώρα δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Please enter city name.,Παρακαλώ εισάγετε το όνομα της πόλης.
City cannot be greater than # characters.,"City δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
City cannot be less than # characters.,City δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Please enter state name.,Παρακαλώ εισάγετε το όνομα του κράτους.
State cannot be greater than # characters.,"Κράτος δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
State cannot be less than # characters.,Κράτος δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Please enter product name.,Παρακαλώ εισάγετε το όνομα του προϊόντος.
Product cannot be greater than # characters.,"Το προϊόν δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
Product cannot be less than # characters.,Το προϊόν δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Please enter category name.,Παρακαλώ εισάγετε το όνομα της κατηγορίας.
Category cannot be greater than # characters.,"Κατηγορία δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
Category cannot be less than # characters.,Κατηγορία δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Please enter zip code.,Παρακαλώ εισάγετε τον ταχυδρομικό κώδικα.
Zip cannot be greater than # characters.,"Zip δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
Zip cannot be less than # characters.,Zip δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Please enter Username.,Παρακαλούμε πληκτρολογήστε το όνομα χρήστη.
Username cannot be greater than # characters.,"Όνομα Χρήστη δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
Username cannot be less than # characters.,Όνομα Χρήστη δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Invalid date format.,Μη έγκυρη μορφή ημερομηνίας.
SKU cannot be greater than # characters.,"Κωδικός προϊόντος δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
SKU cannot be less than # characters.,Κωδικός προϊόντος δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Invalid SKU format.,Μη έγκυρη μορφή SKU.
Please enter SKU.,Παρακαλώ εισάγετε Κωδικός.
Number is not in the valid range. It should be betwen # and %,Ο αριθμός δεν είναι στην έγκυρη περιοχή. Θα πρέπει να είναι Περιοδο # και%
Please enter address.,Παρακαλώ εισάγετε τη διεύθυνση.
Address cannot be less than # characters.,Η διεύθυνση δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Address cannot be greater than # characters.,"Διεύθυνση δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
Please enter company name.,Παρακαλώ εισάγετε το όνομα της εταιρείας.
Company name cannot be less than # characters.,Το όνομα της εταιρείας δεν μπορεί να είναι μικρότερη από # χαρακτήρες.
Company name cannot be greater than # characters.,"Το όνομα της εταιρείας δεν μπορεί να είναι μεγαλύτερη από ό, τι # χαρακτήρες."
Phone number is invalid.,Αριθμός τηλεφώνου δεν είναι έγκυρος.
