Jan,tammikuu
Feb,helmikuu
Mar,maaliskuu
Apr,huhtikuu
May,saattaa
Jun,kesäkuu
Jul,heinäkuu
Aug,elokuu
Sep,syyskuu
Oct,lokakuu
Nov,marraskuu
Dec,joulukuu
Spin and Win,Spin ja Win
Module Configurations,moduuli kokoonpanot
Image has been uploaded successfully!,Kuva on ladattu onnistuneesti!
There was some error while uploading the image for the front end.,Siellä oli jokin virhe ladattaessa kuvan etupään.
Module configuration have been saved successfully!,Konfiguraatiota on tallennettu!
Not your lucky day today. Better Luck Next Time.,Ei onnen päivä tänään. Parempi onni ensi kerralla.
"Something went wrong while generating the coupon code, please try again.","Jokin meni vikaan luotaessa kuponkikoodi, yritä uudelleen."
Slice Settings,siivu Asetukset
Note,Huomautus
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. Arvo, joka laittaa Gravity sarakkeessa selvittävänsä mahdollisuutta siivu valitaan etupäähän. Mitä suurempi arvo on, sitä suuremmalla todennäköisyydellä, että viipale voidaan valita, kun asiakas käyttää laajennuksen."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,"2. arvo vakavuus sarake kutakin viipale ei voi olla suurempi kuin 100, ja summa kaikkien 12 viipaletta ei voi olla suurempi kuin 100 ja vähemmän kuin 1."
Slice Label,siivu Label
Coupon Type,Kupongin tyyppi
Coupon Value,Kupongin arvo
Gravity (%),Painovoima (%)
Fixed,kiinteä
Percentage,prosenttimäärä
Free Shipping,Ilmainen toimitus
Please select atleast one page,Valitse atleast yksi sivu
Please select atleast one country,Valitse atleast yksi maa
Field cannot be empty,Kenttä ei voi olla tyhjä
Total Coupons Generated,Yhteensä kuponkeja Luotu
Total Coupons Unused,Yhteensä kuponkeja Käyttämättömät
Total Coupons Used,Yhteensä kuponkeja Käytetty
`Active Date` cannot be greater than `Inactive Date`,`Aktiivinen täyttöajankohdassa ei voi olla suurempi kuin` Toimeton täyttöajankohdassa
`From` Date cannot be greater than `To` Date,`Lta Päivämäärä ei voi olla suurempi kuin` To` Päivämäärä
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,Summa Gravity ei ole kelvollisella alueella. Sen pitäisi olla betwen 1 100
Date & Time should be greater than current date time.,Päivä ja aika tulisi olla suurempi kuin nykyinen päivämäärä kellonaika.
Please enter First name.,Anna etunimi.
