Jan,Jan
Feb,Fév
Mar,Mar
Apr,Avr
May,Mai
Jun,juin
Jul,Juil
Aug,août
Sep,Sep
Oct,Oct
Nov,Nov
Dec,Déc
Spin and Win,Spin et Win
Module Configurations,Module Configurations
Image has been uploaded successfully!,L'image a été téléchargé avec succès!
There was some error while uploading the image for the front end.,Il y avait une erreur lors du téléchargement sur l'image pour l'avant.
Module configuration have been saved successfully!,La configuration du module ont été enregistré avec succès!
Not your lucky day today. Better Luck Next Time.,Pas votre jour de chance aujourd'hui. Plus de chance la prochaine fois.
"Something went wrong while generating the coupon code, please try again.","Quelque chose a mal tourné tout en générant le code de coupon, s'il vous plaît essayer à nouveau."
Slice Settings,Paramètres tranche
Note,Remarque
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. La valeur que vous mettez dans la colonne Gravity déterminera la possibilité d'une tranche à sélectionner sur l'extrémité avant. Plus la valeur est élevée, plus les chances de la tranche à sélectionner lorsque le client utilise le plug-in."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,2. La valeur de la colonne par gravité pour chaque tranche ne peut pas être supérieur à 100 et la somme de toutes les 12 tranches ne peut pas être supérieur à 100 et inférieur à 1.
Slice Label,Étiquette tranche
Coupon Type,Type de coupon
Coupon Value,Valeur du coupon
Gravity (%),La gravité (%)
Fixed,Fixé
Percentage,Pourcentage
Free Shipping,Livraison gratuite
Please select atleast one page,S'il vous plaît sélectionner au moins une page
Please select atleast one country,S'il vous plaît sélectionner au moins un pays
Field cannot be empty,Le champ ne peut être vide
Total Coupons Generated,Total des coupons générés
Total Coupons Unused,Total des billets non utilisés
Total Coupons Used,Total des coupons d'occasion
`Active Date` cannot be greater than `Inactive Date`,`Active Date` ne peut pas être supérieure à` inactif Date`
`From` Date cannot be greater than `To` Date,`From` date ne peut pas être supérieure à` To` date
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,La somme de gravité n'est pas dans la plage valide. Il devrait être 1 et 100 Situés entre
Date & Time should be greater than current date time.,Date et heure doit être supérieure à date heure actuelle.
Please enter First name.,S'il vous plaît entrez le nom d'abord.
First name cannot be greater than # characters.,D'abord le nom ne peut pas être supérieure à caractères #.
First name cannot be less than # characters.,D'abord le nom ne peut pas être inférieur à caractères #.
Please enter middle name.,S'il vous plaît entrez le nom du milieu.
Middle name cannot be greater than # characters.,prénom ne peut pas être supérieure à caractères #.
Middle name cannot be less than # characters.,prénom ne peut pas être inférieur à caractères #.
Only alphabets are allowed.,alphabets seulement sont autorisés.
Please enter Last name.,S'il vous plaît entrer Nom.
Last name cannot be greater than # characters.,Nom ne peut pas être supérieure à caractères #.
Last name cannot be less than # characters.,Nom ne peut pas être inférieur à caractères #.
Field should be alphanumeric.,Champ doit être alphanumérique.
Please enter Password.,Veuillez entrer le mot de passe.
Password cannot be greater than # characters.,Mot de passe ne peut pas être supérieure à caractères #.
Password cannot be less than # characters.,Mot de passe ne peut pas être inférieure à caractères #.
Password should contain atleast 1 special character.,Mot de passe doit contenir atleast 1 caractère spécial.
Password should contain alphabets.,Mot de passe doit contenir alphabets.
Password should contain atleast 1 capital letter.,Mot de passe doit contenir atleast 1 lettre majuscule.
Password should contain atleast 1 small letter.,Mot de passe doit contenir atleast 1 petite lettre.
Password should contain atleast 1 digit.,Mot de passe doit contenir atleast 1 chiffre.
Field cannot be empty.,Le champ ne peut être vide.
You can enter only numbers.,Vous pouvez entrer des chiffres.
Number should be greater than 0.,Le nombre doit être supérieur à 0.
Field cannot be greater than # characters.,Le champ ne peut être supérieure à caractères #.
Field cannot be less than # character(s).,Le champ ne peut être inférieure à caractère # (s).
Please enter Email.,S'il vous plaît entrer e-mail.
Please enter a valid Email.,S'il vous plaît entrer un courriel valide.
Please enter country name.,S'il vous plaît entrez le nom du pays.
Country cannot be greater than # characters.,Pays ne peut pas être supérieure à caractères #.
Country cannot be less than # characters.,Pays ne peut pas être inférieur à caractères #.
Please enter city name.,S'il vous plaît entrez le nom de la ville.
City cannot be greater than # characters.,Ville ne peut pas être supérieure à caractères #.
City cannot be less than # characters.,Ville ne peut pas être inférieure à caractères #.
Please enter state name.,S'il vous plaît entrez le nom de l'État.
State cannot be greater than # characters.,État ne peut pas être supérieure à caractères #.
State cannot be less than # characters.,État ne peut pas être inférieur à caractères #.
Please enter product name.,S'il vous plaît entrez le nom du produit.
Product cannot be greater than # characters.,Produit ne peut pas être supérieure à caractères #.
Product cannot be less than # characters.,Produit ne peut pas être inférieur à caractères #.
Please enter category name.,S'il vous plaît entrez le nom de la catégorie.
Category cannot be greater than # characters.,Catégorie ne peut pas être supérieure à caractères #.
Category cannot be less than # characters.,Catégorie ne peut pas être inférieure à caractères #.
Please enter zip code.,S'il vous plaît entrer le code postal.
Zip cannot be greater than # characters.,Zip ne peut pas être supérieure à caractères #.
Zip cannot be less than # characters.,Zip ne peut pas être inférieure à caractères #.
Please enter Username.,S'il vous plaît entrer Nom d'utilisateur.
Username cannot be greater than # characters.,Nom d'utilisateur ne peut pas être supérieure à caractères #.
Username cannot be less than # characters.,Nom d'utilisateur ne peut pas être inférieur à caractères #.
Invalid date format.,Format de date non valide.
SKU cannot be greater than # characters.,SKU ne peut pas être supérieure à caractères #.
SKU cannot be less than # characters.,SKU ne peut pas être inférieure à caractères #.
Invalid SKU format.,Format SKU non valide.
Please enter SKU.,S'il vous plaît entrer SKU.
Number is not in the valid range. It should be betwen # and %,Nombre n'est pas dans la plage valide. Il devrait être et #% Situés entre
Please enter address.,S'il vous plaît entrer l'adresse.
Address cannot be less than # characters.,Adresse ne peut pas être inférieure à caractères #.
Address cannot be greater than # characters.,Adresse ne peut pas être supérieure à caractères #.
Please enter company name.,S'il vous plaît entrez le nom de l'entreprise.
Company name cannot be less than # characters.,Nom de l'entreprise ne peut pas être inférieure à caractères #.
Company name cannot be greater than # characters.,Nom de l'entreprise ne peut pas être supérieure à caractères #.
