Jan,Jan
Feb,februarie
Mar,strica
Apr,Aprilie
May,Mai
Jun,Iunie
Jul,iulie
Aug,august
Sep,septembrie
Oct,octombrie
Nov,noiembrie
Dec,decembrie
Spin and Win,Spin și Win
Module Configurations,Configurațiile modulului
Image has been uploaded successfully!,Imagine a fost încărcat cu succes!
There was some error while uploading the image for the front end.,A apărut o eroare la încărcarea imaginii pentru capătul din față.
Module configuration have been saved successfully!,Modul de configurare au fost salvate cu succes!
Not your lucky day today. Better Luck Next Time.,Nu este ziua ta norocoasă astăzi. Mai mult noroc data viitoare.
"Something went wrong while generating the coupon code, please try again.","Ceva a mers prost în timp ce generarea codului de cupon, vă rugăm să încercați din nou."
Slice Settings,Setări Slice
Note,Notă
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. Valoarea pe care ați pus în coloana Gravity va determina posibilitatea unei felii de a fi selectat pe front-end. Cu cât valoarea, cu atât șansele de felia care urmează să fie selectat în cazul în care clientul utilizează plugin-ul."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,2. Valoarea coloanei Gravity pentru fiecare felie nu poate fi mai mare decât 100 și suma tuturor 12 felii nu poate fi mai mare decât 100 și mai puțin de 1.
Slice Label,Slice Label
Coupon Type,Tip cupon
Coupon Value,Valoarea cuponului
Gravity (%),Gravitatie (%)
Fixed,Fix
Percentage,Procent
Free Shipping,Transport gratuit
Please select atleast one page,Vă rugăm să selectați atleast o pagină
Please select atleast one country,Vă rugăm să selectați atleast o țară
Field cannot be empty,Câmpul nu poate fi gol
Total Coupons Generated,Total de cupoane generate
Total Coupons Unused,Total de cupoane neutilizate
Total Coupons Used,Total de cupoane de ocazie
`Active Date` cannot be greater than `Inactive Date`,`Active Date` nu poate fi mai mare decât` inactiv Date`
`From` Date cannot be greater than `To` Date,`Din` Data nu poate fi mai mare decât` a` Data
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,Suma de greutate nu este în intervalul valid. Ar trebui să fie 1 și 100 Intre
