Jan,Jan
Feb,febbraio
Mar,mar
Apr,aprile
May,potrebbe
Jun,giugno
Jul,luglio
Aug,agosto
Sep,settembre
Oct,ottobre
Nov,novembre
Dec,dicembre
Spin and Win,Spin e Win
Module Configurations,Configurazioni modulo
Image has been uploaded successfully!,Immagine è stato caricato con successo!
There was some error while uploading the image for the front end.,C'era qualche errore durante il caricamento dell'immagine per il front-end.
Module configuration have been saved successfully!,configurazione del modulo sono stati salvati con successo!
Not your lucky day today. Better Luck Next Time.,Non è il suo giorno fortunato oggi. La prossima volta sarai più fortunato.
"Something went wrong while generating the coupon code, please try again.","Qualcosa è andato storto durante la generazione del codice coupon, riprova."
Slice Settings,Impostazioni Slice
Note,Nota
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. Il valore che si inserisce nella colonna Gravità determinerà la possibilità di una fetta da selezionare sul front-end. Più alto è il valore, maggiore è la probabilità per la fetta da selezionare quando il cliente utilizza il plugin."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,2. Il valore della colonna gravità per ogni sezione non può essere maggiore di 100 e la somma di tutti i 12 fette non può essere maggiore di 100 e meno di 1.
Slice Label,Fetta Label
Coupon Type,Coupon
Coupon Value,Cedola Valore
Gravity (%),Gravity (%)
Fixed,Fisso
Percentage,Percentuale
Free Shipping,Spedizione gratuita
Please select atleast one page,Si prega di selezionare almeno uno pagina
Please select atleast one country,Si prega di selezionare almeno uno Paese
Field cannot be empty,Campo non può essere vuoto
Total Coupons Generated,Totale Buoni generata
Total Coupons Unused,Totale Buoni inutilizzato
Total Coupons Used,Totale Buoni usate
`Active Date` cannot be greater than `Inactive Date`,`Attivo Date` non può essere maggiore di` Inattivo Date`
`From` Date cannot be greater than `To` Date,`From` La data non può essere maggiore di` To` Data
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,La somma di gravità non è nel range valido. Dovrebbe essere betwen 1 e 100
Date & Time should be greater than current date time.,Data e ora dovrebbe essere superiore a data e ora corrente.
Please enter First name.,Si prega di inserire Nome.
First name cannot be greater than # characters.,Nome non può essere maggiore di # caratteri.
First name cannot be less than # characters.,Nome non può essere inferiore a # caratteri.
Please enter middle name.,Si prega di inserire nome.
Middle name cannot be greater than # characters.,Secondo nome non può essere maggiore di # caratteri.
Middle name cannot be less than # characters.,Secondo nome non può essere inferiore a # caratteri.
Only alphabets are allowed.,Solo alfabeti sono ammessi.
Please enter Last name.,Si prega di inserire Cognome.
Last name cannot be greater than # characters.,Ultimo nome non può essere maggiore di # caratteri.
Last name cannot be less than # characters.,Ultimo nome non può essere inferiore a # caratteri.
Field should be alphanumeric.,Il campo dovrebbe essere alfanumerico.
Please enter Password.,"Per favore, inserisci la password."
Password cannot be greater than # characters.,La password non può essere maggiore di # caratteri.
Password cannot be less than # characters.,La password non può essere inferiore a # caratteri.
Password should contain atleast 1 special character.,La password deve contenere atleast 1 carattere speciale.
Password should contain alphabets.,La password deve contenere alfabeti.
Password should contain atleast 1 capital letter.,La password deve contenere atleast lettera 1 capital.
Password should contain atleast 1 small letter.,La password deve contenere atleast 1 lettera minuscola.
Password should contain atleast 1 digit.,La password deve contenere atleast 1 cifra.
Field cannot be empty.,Campo non può essere vuoto.
You can enter only numbers.,È possibile inserire solo numeri.
Number should be greater than 0.,Il numero deve essere maggiore di 0.
Field cannot be greater than # characters.,Il campo non può essere maggiore di # caratteri.
Field cannot be less than # character(s).,Il campo non può essere inferiore a # carattere (s).
Please enter Email.,Inserisci e-mail.
Please enter a valid Email.,Inserisci una email valida.
Please enter country name.,Si prega di inserire il nome del paese.
Country cannot be greater than # characters.,Paese non può essere maggiore di # caratteri.
Country cannot be less than # characters.,Paese non può essere inferiore a # caratteri.
Please enter city name.,Si prega di inserire il nome della città.
City cannot be greater than # characters.,Città non può essere maggiore di # caratteri.
City cannot be less than # characters.,Città non può essere inferiore a # caratteri.
Please enter state name.,Si prega di inserire nome dello stato.
State cannot be greater than # characters.,Stato non può essere maggiore di # caratteri.
State cannot be less than # characters.,Stato non può essere inferiore a # caratteri.
Please enter product name.,Si prega di inserire il nome del prodotto.
Product cannot be greater than # characters.,Il prodotto non può essere maggiore di # caratteri.
Product cannot be less than # characters.,Il prodotto non può essere inferiore a # caratteri.
Please enter category name.,Si prega di inserire nome della categoria.
Category cannot be greater than # characters.,La categoria non può essere maggiore di # caratteri.
Category cannot be less than # characters.,La categoria non può essere inferiore a # caratteri.
Please enter zip code.,Si prega di inserire il codice di avviamento postale.
Zip cannot be greater than # characters.,Zip non può essere maggiore di # caratteri.
Zip cannot be less than # characters.,Zip non può essere inferiore a # caratteri.
Please enter Username.,Si prega di inserire nome utente.
Username cannot be greater than # characters.,Nome utente non può essere maggiore di # caratteri.
Username cannot be less than # characters.,Nome utente non può essere inferiore a # caratteri.
Invalid date format.,Formato data non valido.
SKU cannot be greater than # characters.,SKU non può essere maggiore di # caratteri.
SKU cannot be less than # characters.,SKU non può essere inferiore a # caratteri.
Invalid SKU format.,Formato SKU non valido.
Please enter SKU.,Si prega di inserire SKU.
Number is not in the valid range. It should be betwen # and %,Il numero non è nel range valido. Dovrebbe essere betwen # e%
Please enter address.,Si prega di inserire l'indirizzo.
Address cannot be less than # characters.,Indirizzo non può essere inferiore a # caratteri.
Address cannot be greater than # characters.,Indirizzo non può essere maggiore di # caratteri.
Please enter company name.,Si prega di inserire nome della società.
Company name cannot be less than # characters.,Nome azienda non può essere inferiore a # caratteri.
Company name cannot be greater than # characters.,Nome azienda non può essere maggiore di # caratteri.
Phone number is invalid.,Numero di telefono non è valido.
Please enter phone number.,Si prega di inserire il numero di telefono.
Phone number cannot be less than # characters.,Numero di telefono non può essere inferiore a # caratteri.
Phone number cannot be greater than # characters.,Numero di telefono non può essere maggiore di # caratteri.
Please enter brand name.,Si prega di inserire il nome del marchio.
Brand name cannot be greater than # characters.,marca non può essere maggiore di # caratteri.
Brand name cannot be less than # characters.,marca non può essere inferiore a # caratteri.
Please enter Shimpment.,Si prega di inserire Shimpment.
Shipment cannot be greater than # characters.,La spedizione non può essere maggiore di # caratteri.
Shipment cannot be less than # characters.,La spedizione non può essere inferiore a # caratteri.
Invalid IP format.,formato IP valido.
Invalid URL format.,Formato URL non valido.
Please enter URL.,Si prega di inserire l'URL.
Field should be numeric.,Campo deve essere numerico.
Field can have only upto two decimal values.,Il campo può avere solo fino a due valori decimali.
Email cannot be greater than # characters.,E-mail non può essere maggiore di # caratteri.
Zip should not have special characters.,Zip non dovrebbe avere i caratteri speciali.
SKU should not have special characters.,SKU non dovrebbe avere i caratteri speciali.
URL cannot be greater than # characters.,URL non può essere maggiore di # caratteri.
Percentage should be in number.,Percentuale dovrebbe essere in numero.
Percentage should be between 0 and 100.,Percentuale dovrebbe essere tra 0 e 100.
Size cannot be greater than # characters.,La dimensione non può essere maggiore di # caratteri.
Size should not have special characters.,La dimensione non dovrebbe avere i caratteri speciali.
UPC should not have special characters.,UPC non dovrebbe avere i caratteri speciali.
UPC cannot be greater than # characters.,UPC non può essere maggiore di # caratteri.
EAN should not have special characters.,EAN non dovrebbe avere i caratteri speciali.
EAN cannot be greater than # characters.,EAN non può essere maggiore di # caratteri.
Barcode should not have special characters.,Codice a barre non dovrebbe avere i caratteri speciali.
Barcode cannot be greater than # characters.,Codice a barre non può essere maggiore di # caratteri.
Field should be positive.,Il campo dovrebbe essere positivo.
Color could not be greater than # characters.,Il colore non ha potuto essere maggiore di # caratteri.
Color is not valid.,Il colore non è valido.
