Jan,jan
Feb,februari
Mar,bederven
Apr,april
May,mei
Jun,juni
Jul,juli
Aug,augustus
Sep,september
Oct,oktober
Nov,november
Dec,december
Spin and Win,Draai en Win
Module Configurations,moduleconfiguraties
Image has been uploaded successfully!,Afbeelding is geüpload!
There was some error while uploading the image for the front end.,Er was een fout tijdens het uploaden van de afbeelding voor de front-end.
Module configuration have been saved successfully!,Module configuratie zijn met succes gered!
Not your lucky day today. Better Luck Next Time.,Niet uw geluksdag vandaag. Volgende keer beter.
"Something went wrong while generating the coupon code, please try again.","Er ging iets mis tijdens het genereren van de coupon code, probeer het opnieuw."
Slice Settings,slice Instellingen
Note,Notitie
"1. The value that you put in the Gravity column will determine the possibility of a slice to be selected on the front end. The higher the value, the higher the chances for the slice to be selected when the customer uses the plugin.","1. De waarde die je in de kolom Gravity zal de mogelijkheid van een stukje vast te stellen om te worden geselecteerd op de front-end. Hoe hoger de waarde, hoe groter de kans voor het segment wordt geselecteerd wanneer de klant gebruikt de plug."
2. The value of the Gravity column for each slice cannot be greater than 100 and the sum of all 12 slices cannot be greater than 100 and less than 1.,2. De waarde van de zwaartekracht kolom voor elke schijf kan niet groter zijn dan 100 en de som van alle 12 segmenten kan groter zijn dan 100 en minder dan 1 niet.
Slice Label,slice Label
Coupon Type,coupon Type
Coupon Value,coupon Value
Gravity (%),Gravity (%)
Fixed,vast
Percentage,Percentage
Free Shipping,Geen verzendkosten
Please select atleast one page,Selecteer tenminste één pagina
Please select atleast one country,Selecteer tenminste één land
Field cannot be empty,Het gebied mag niet leeg zijn
Total Coupons Generated,Totaal Coupons Generated
Total Coupons Unused,Totaal Coupons Ongebruikte
Total Coupons Used,Totaal Coupons Gebruikt
`Active Date` cannot be greater than `Inactive Date`,`Active invuldatum kan niet groter zijn dan` Inactieve invuldatum zijn
`From` Date cannot be greater than `To` Date,`From` datum kan niet groter zijn dan` To` Date
The sum of Gravity is not in the valid range. It should be betwen 1 and 100,De som van Gravity is niet in het geldige bereik. Het moet TUSSEN 1 en 100
Date & Time should be greater than current date time.,Datum en tijd moet groter zijn dan de huidige datum tijd.
Please enter First name.,Vul Voornaam.
First name cannot be greater than # characters.,Voornaam mag niet groter zijn dan # tekens.
First name cannot be less than # characters.,Voornaam mag niet lager zijn dan # tekens.
Please enter middle name.,Vul de tweede naam.
Middle name cannot be greater than # characters.,Middelste naam kan niet groter zijn dan # tekens.
Middle name cannot be less than # characters.,Middelste naam kan niet minder dan # tekens.
Only alphabets are allowed.,Alleen letters zijn toegestaan.
Please enter Last name.,Vul de achternaam.
Last name cannot be greater than # characters.,Achternaam mag niet groter zijn dan # tekens.
Last name cannot be less than # characters.,Laatste naam kan niet minder dan # tekens.
Field should be alphanumeric.,Veld moet alfanumeriek zijn.
Please enter Password.,Voer wachtwoord in alstublieft.
Password cannot be greater than # characters.,Het wachtwoord kan niet groter zijn dan # tekens.
Password cannot be less than # characters.,Het wachtwoord kan niet minder dan # tekens.
Password should contain atleast 1 special character.,Wachtwoord moet minstens 1 speciaal teken bevatten.
Password should contain alphabets.,Wachtwoord moet alfabetten bevatten.
Password should contain atleast 1 capital letter.,Wachtwoord moet minstens 1 hoofdletter bevatten.
Password should contain atleast 1 small letter.,Wachtwoord moet minstens 1 kleine letter bevatten.
Password should contain atleast 1 digit.,Wachtwoord moet minstens 1 cijfer bevatten.
Field cannot be empty.,Het gebied mag niet leeg zijn.
You can enter only numbers.,U kunt alleen cijfers invoeren.
Number should be greater than 0.,Nummer moet groter zijn dan 0.
Field cannot be greater than # characters.,Het gebied mag niet groter zijn dan # tekens.
Field cannot be less than # character(s).,Het gebied kan niet lager zijn dan # teken (s) zijn.
Please enter Email.,Vul e-mail.
Please enter a valid Email.,Gelieve een geldig e-mailadres in te vullen.
Please enter country name.,Vul de naam van het land.
Country cannot be greater than # characters.,Land mag niet groter zijn dan # tekens.
Country cannot be less than # characters.,Land kan niet minder dan # tekens.
Please enter city name.,Vul de naam van de stad.
City cannot be greater than # characters.,Stad kan niet groter zijn dan # tekens.
City cannot be less than # characters.,Stad kan niet minder dan # tekens.
Please enter state name.,Voer je provincie naam.
State cannot be greater than # characters.,Staat kan niet groter zijn dan # tekens.
State cannot be less than # characters.,Staat kan niet minder dan # tekens.
Please enter product name.,Vul de naam van het product.
Product cannot be greater than # characters.,Het product kan niet groter zijn dan # tekens.
Product cannot be less than # characters.,Het product kan niet minder dan # tekens.
Please enter category name.,Vul hier de categorie naam.
Category cannot be greater than # characters.,Categorie kan niet groter zijn dan # tekens.
Category cannot be less than # characters.,Categorie kan niet minder dan # tekens.
Please enter zip code.,Vul postcode.
Zip cannot be greater than # characters.,Zip kan niet groter zijn dan # tekens.
Zip cannot be less than # characters.,Zip kan niet minder dan # tekens.
Please enter Username.,Vul gebruikersnaam.
Username cannot be greater than # characters.,Gebruikersnaam mag niet groter zijn dan # tekens.
Username cannot be less than # characters.,Gebruikersnaam kan niet minder dan # tekens.
Invalid date format.,Ongeldige datum.
SKU cannot be greater than # characters.,SKU kan niet groter zijn dan # tekens.
SKU cannot be less than # characters.,SKU kan niet minder dan # tekens.
Invalid SKU format.,Ongeldige SKU-formaat.
Please enter SKU.,Vul SKU.
Number is not in the valid range. It should be betwen # and %,Nummer is niet in het geldige bereik. Het moet ontlenen # en%
Please enter address.,Vul adres.
Address cannot be less than # characters.,Het adres kan niet minder dan # tekens.
Address cannot be greater than # characters.,Adres kan niet groter zijn dan # tekens.
Please enter company name.,Vul de naam van het bedrijf.
Company name cannot be less than # characters.,Bedrijfsnaam mag niet lager zijn dan # tekens.
Company name cannot be greater than # characters.,Bedrijfsnaam mag niet groter zijn dan # tekens.
Phone number is invalid.,Telefoonnummer is ongeldig.
Please enter phone number.,Vul telefoonnummer in.
Phone number cannot be less than # characters.,Telefoonnummer mag niet lager zijn dan # tekens.
Phone number cannot be greater than # characters.,Telefoonnummer mag niet groter zijn dan # tekens.
Please enter brand name.,Vul merknaam.
Brand name cannot be greater than # characters.,Merknaam mag niet groter zijn dan # tekens.
Brand name cannot be less than # characters.,Merknaam kan niet minder dan # tekens.
Please enter Shimpment.,Vul Shimpment.
Shipment cannot be greater than # characters.,Verzending kan niet groter zijn dan # tekens.
Shipment cannot be less than # characters.,Verzending kan niet minder dan # tekens.
Invalid IP format.,Ongeldig IP-formaat.
Invalid URL format.,Ongeldige URL-indeling.
Please enter URL.,Voer een URL in.
Field should be numeric.,Veld moet numeriek zijn.
Field can have only upto two decimal values.,Het gebied kan alleen upto twee decimale waarden hebben.
Email cannot be greater than # characters.,E-mail kan niet groter zijn dan # tekens.
Zip should not have special characters.,Zip mag geen speciale tekens.
SKU should not have special characters.,SKU mogen geen speciale tekens.
URL cannot be greater than # characters.,URL kan niet groter zijn dan # tekens.
Percentage should be in number.,Percentage moet zijn in aantal.
Percentage should be between 0 and 100.,Percentage moet tussen 0 en 100.
Size cannot be greater than # characters.,Grootte kan niet groter zijn dan # tekens.
Size should not have special characters.,Maat zal geen speciale tekens.
UPC should not have special characters.,UPC mag geen speciale tekens.
UPC cannot be greater than # characters.,UPC kan niet groter zijn dan # tekens.
EAN should not have special characters.,EAN mogen geen speciale tekens.
EAN cannot be greater than # characters.,EAN kan niet groter zijn dan # tekens.
Barcode should not have special characters.,Barcode mag geen speciale tekens.
Barcode cannot be greater than # characters.,Barcode kan niet groter zijn dan # tekens.
Field should be positive.,Het gebied moet positief zijn.
Color could not be greater than # characters.,Color kon niet groter dan # tekens.
Color is not valid.,Kleur is niet geldig.
Special characters are not allowed.,Speciale karakters zijn niet toegestaan.
Script tags are not allowed.,Script tags zijn niet toegestaan.
Style tags are not allowed.,Style tags zijn niet toegestaan.
Iframe tags are not allowed.,Iframe-tags zijn niet toegestaan.
